VIN,Territory,Class,Loss1,Loss2
1B3ES47C9XD124621,5,A,0,0
1B3ES47CXTD509857,5,A,0,0
1B3ES47CXWD552504,6,M,0,0
1B3ES47Y0WD740248,5,A,0,0
1B3ES47Y1WD588643,3,A,0,0
1B3ES47Y1XD163781,2,S,0,0
1B3ES47Y4VD184508,2,S,0,0
1B3ES47Y6WD736494,6,A,0,0
1B3ES56C02D569832,2,S,0,0
1B3ES56C02D642889,4,I,0,0
1B3ES56C03D254000,4,A,0,0
1B3ES56C04D509830,4,A,0,0
1B3ES56C04D543010,6,A,0,0
1B3ES56C05D226250,5,I,0,0
1B3ES56C12D604135,2,A,0,0
1B3ES56C13D127210,5,A,0,0
1B3ES56C13D132553,2,A,0,0
1B3ES56C14D569213,5,A,0,0
1B3ES56C14D598131,5,A,0,0
1B3ES56C23D145778,2,M,0,0
1B3ES56C23D190980,3,A,0,0
1B3ES56C24D542182,2,S,0,0
1B3ES56C25D173017,4,A,0,0
1B3ES56C32D652073,2,A,0,0
1B3ES56C33D170642,5,A,0,0
1B3ES56C34D516092,6,A,0,0
1B3ES56C42D602704,4,A,0,530
1B3ES56C42D642040,4,A,0,0
1B3ES56C45D178137,4,S,0,0
1B3ES56C45D207748,2,A,0,0
1B3ES56C45D268761,3,A,0,0
1B3ES56C45D283938,1,A,0,0
1B3ES56C52D658585,3,A,0,0
1B3ES56C53D197129,1,A,0,0
1B3ES56C55D283978,2,A,0,0
1B3ES56C63D225486,5,M,0,0
1B3ES56C64D534649,2,S,0,0
1B3ES56C64D542346,2,A,0,0
1B3ES56C64D598089,5,S,0,0
1B3ES56C65D125889,2,A,0,0
1B3ES56C72D592458,5,A,0,0
1B3ES56C73D195365,5,A,0,0
1B3ES56C74D564999,2,A,0,0
1B3ES56C82D632823,5,S,0,0
1B3ES56C84D542512,1,I,0,0
1B3ES56C84D546544,4,A,0,0
1B3ES56C84D564851,5,A,24752,0
1B3ES56C84D608069,2,A,0,0
1B3ES56C85D207705,1,A,0,0
1B3ES56C92D564970,2,S,0,0
1B3ES56C92D655740,1,M,0,0
1B3ES56C93D193391,6,I,0,0
1B3ES56C94D609599,4,A,863,0
1B3ES56C94D634941,6,A,0,0
1B3ES56C95D255441,4,A,0,0
1B3ES56CX2D627011,6,A,0,0
1B3ES66S15D254524,3,A,0,0
1B3ES66S25D105801,2,A,0,0
1B3ES66S74D534205,6,A,0,0
1B3ES66S75D227991,1,A,0,0
1B3ES66S84D595532,2,M,0,0
1B3ES66S94D619644,2,A,0,0
1B3ES76F72D585435,2,A,0,0
1B3HB28BX7D592980,1,A,0,0
1B3HB28C37D125862,6,M,0,0
1B3HB48B47D554978,2,A,0,0
1B3HB48BX7D100945,2,A,0,0
1B3HD46T0SF564765,3,I,1922,0
1B3HD46T0SF564765,3,I,5263,0
1B3HD46T3SF673169,4,S,0,0
1B3HD46T4SF676176,4,S,0,0
1B3HD46T6RF248393,4,S,0,0
1B3HD46T7TF131350,6,A,0,0
1B3HD46T8SF628566,5,A,0,0
1B3HD46T9SF681728,1,S,0,0
1B3HD46TXRF293269,2,A,0,0
1B3HD46TXSF514567,6,I,0,0
1B3HD56F5RF297892,4,A,0,0
1B3HE78K67D129285,4,A,0,0
1B3HE78KX7D136434,4,A,0,0
1B3XA4633PF568076,2,I,0,0
1B3XA46K2NF206762,4,S,0,0
1B3XA46K2NF270901,3,A,0,0
1B3XA46K3MF640056,3,S,0,0
1B3XA46K3NF216684,4,S,0,0
1B3XA46K5PF500112,2,S,0,0
1B3XA46K6NF111105,2,S,0,0
1B3XA46K7LF902238,6,A,0,0
1B3XA46K7NF145151,2,S,0,0
1B3XA46K7NF242236,5,A,0,0
1B3XA46K7PF560697,4,S,0,0
1B3XA46K9LF715809,6,A,0,0
1B3XA5630MF576508,6,S,0,0
1B3XA5636MF522906,4,A,0,0
1B3XC4630ND747792,5,S,0,0
1B3XC4636MD286340,4,S,0,0
1B3XC4639PD182753,3,A,0,0
1B3XC46R0MD185900,4,A,0,0
1B3XC46R4LD869895,5,S,0,0
1B3XC46R9MD215332,1,A,0,0
1B3XC46R9ND825572,6,S,0,0
1B3XC5630PD202636,6,A,0,0
1B3XC56R2ND710995,6,A,0,0
1B3XC56R3ND733847,3,S,0,0
1B3XC56R8LD911474,5,S,0,0
1B3XP24D3NN197969,2,S,0,0
1B3XP24K5PN657747,2,A,0,0
1B3XP28D0NN197986,4,A,1073,0
1B3XP28D2PN530367,5,A,0,0
1B3XP28D3NN233489,4,I,0,0
1B3XP28D6NN250772,5,A,0,0
1B3XP28K1PN647212,2,S,0,0
1B3XP28K9PN643618,1,S,0,0
1B3XP48K7MN562155,5,S,0,0
1B3XP48KXMN562229,2,A,0,0
1B4FK5439KX618334,6,A,0,0
1B4GH2430RX205326,5,A,0,0
1B4GH2435SX538045,3,A,0,0
1B4GH44R1RX219509,2,S,0,0
1B4GH44R2SX625191,6,A,0,0
1B4GH44R3PX663360,5,A,0,0
